"","Comentario"
"3550","Excelente para cocinar dulce y salado, tamaño apropiado y buena marca alemana, lo recomiendo 100%
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3551","Cumplió mis expectativas y además trae recolector de residuos,feliz.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3552","Es de muy buen tamaño. La relación precio calidad es perfecta
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3553","Muy buen producto .recomendado 100 %
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3554","Cumplio con laa expectativas y las preparaciones estan antes de tiempo muy rapido.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3555","Cumple con la expectativa, tamaño adecuado y terminaciones de calidad.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3556","Super buen producto, lo ocupo dia por medio y cero problemas, casi un año ya. Solo hay que acostumbrarse al horno y temperaturas y todo queda exquisito :D
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3557","Buen producto, feliz con la compra, recomendado absolutamente
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3558","Pese a la contingencia, llegó en el día indicado y está funcionando perfecto para el espacio designado.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3559","Pequeño, movible , limpiado fácil , es rápido y seguro en su uso.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3560","Cumplio mis espectativas, cabe perfectamente un molde de pie y las dos latas que trae me han sido bastante utiles, trae un utencilio que es como un mango para sacar las bandejas calientes, lo ame
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3561","Lo recomiendo sin dudar.
Solo hay que tener cuidado al abrirlo porque se calienta bastante.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3562","Muy buen producto, en especial calidad thomas. Feliz con mi compra.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3563","Es un buen producto.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3564","Cumplió con expectativas, buen tamaño y buen precio
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3565","Es super facil de limpiar, tiene buena oscilación de temperatura, todo funciona correctamente 10 de 10
<U+2714> Sí, recomiendo este producto."
"3566","Lo recomiendo es muy bueno y a buen precio
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3567","Muy buen producto ,
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3568","buen articulo, cumple excelente
<U+2714> Sí, recomiendo este producto."
"3569","Súper buen horno, es más espacioso de lo que creía, las cocciones andan bien. Precio calidad súper."
"3570","Excelente producto, tiene 2 bandejas lo que permite usarlo de manera mas optima. En cuanto a gasto de luz no influyo mucho en mi cuenta.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3571","Cumplió todas las expectativas al usarlo, lo que si, no se cuanto saldrá de luz, el primer de uso en casa
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3572","Compré un horno, en lo personal mi mama lo necesitaba y le ha funcionado muy bien. Es recomendable
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3573","Cumple con mis expectativas.
Por el espacio que tengo en la cocina compre de este tamaño. Pero queda corto para una familia de 6 personas.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3574","El producto es bueno, es muy practico y fácil su uso. El único inconveniente que no me imaginé, es todo lo que se calienta por fuera del horno, por lo que hay que tener mucho cuidado al tenerlo en funcionamiento
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3575","Muy buena relación precio/calidad, buen tamaño para cocinas pequeñas
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3576","Si cumplió con todas mis expectativas, excelente producto para cocinar queques, tortas y pan. Tiene una cocción perfecta.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3577","Me encanto comprar online fue muy rápido y los productos venía en perfecto estado
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3578","Llegó en la fecha indicada, tiene un tamaño ideal y es buenísimo, calienta y hornea perfecto!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3579","Se lo envíe de regalo a mi mamá, el diseño es compacto, quedó perfecto en el mueble a la medida y es fácil de usar...ella estaba feliz!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3580","Excelente producto hasta ahora cumple con todas mis expectativas, lo recomiendo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3581","Horno muy funcional, su capacidad es muy buena. útil para diversos usos. Yo lo compré para mi mamá (adulto mayor) y lo maneja sin dificultad
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3582","Sii maravilloso producto recomendado 1000% ahora mi pancito me queda espectacular y exelente servicio en la tienda .. Mis felicitaciones a tofos Uds. Por su servicio
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3583","Muy buen horno, cumple muy bien su función, es amplio y fácil de utilizar. Sólo recomiendo que incluyan en su base alguna lámina desmontable para facilitar la limpieza, ya que no tiene nada y cuando escurre aceite que pegado y no se puede limpiar bien.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3584","Estoy esperando desde el viernes que llegue y a la fecha no le he recibido
Publicada originalmente en sodimac.cl"
"3585","Maravilloso producto.. Me encantó y he cocinado muchas cosas ricas... Marca confiable.. Taal y como dice la descripción y fotos <U+2764><U+FE0F>
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3586","Muy buen producto.... Para hornear lo que sea.... Se lo recomiendo a todos mis amigos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3587","Compre con expectativas y excelente en relación a precio calidad
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3588","Cumplió completamente mis expectativas, hornea maravillosamente y si lo recomendaría plenamente a mis amistades que necesitan de algo práctico y rápido de usar
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3589","Buen tamaño, me sirve para preparar variadas recetas, las direcciones del calor son muy útiles.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3590","El producto cumplió mis expectativas deja los alimentos muy bien y lo recomiendo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3591","Mí esposa está feliz con el horno, lo ocupó para hacer un queque y para ser la primera vez que lo usa le quedó muy bien, lo recomiendo. Hay que aprender a regular la temperatura adecuada de cocción y listo. Saludos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3592","Muy bueno el tamaño trae dos bandejas más una parrilla súper amplio y perfecto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3593","Cumple totalmente mis expectativas, buena capacidad y de fácil operación, lo usamos para preparar y calentar algunas cosas que quedan mucho más ricas y crujientes
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3594","En el mes que lo tengo ya he cocinado muchas cosas en el. Es lo que esperaba.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3595","Lo probamos y funcionó súper bien."
"3596","Éste horno es genial porque es de un tamaño perfecto y es muy rápido para llegar a la temperatura óptima,puedo cocinar ricas comidas y lo mejor cocer pan congelado en pocos minutos.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3597","Producto precio calidad insuperables, horno eléctrico muy bueno ademas de traer 2 bandejas que facilita algunas cosas
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3598","Me encanta el horno, es grande y posee 2 bandejas, sin embargo, la parrilla venía chueca y una de las bandejas pesimo estado
Publicada originalmente en sodimac.cl"
"3599","Cumplió totalmente mis expectativas a un muy buen precio
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3600","Es un producto comprado pensando en las ricas recetas que se pueden cocinar en el para el invierno, un excelente producto que estamos seguros por la larga trayectoria de la marca no nos abandonará
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3601","Era mucho más de lo que esperaba..buena marca espacioso y bonito 100% recomendado a mis compañeros de trabajo.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3602","Ya e tenido antes horno eléctrico, me encanta la gran ayuda que hace en mi cocina, a la hora de preparar mis comidas sin problemas.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3603","Lo uso para todo! Ya no necesito el horno a gas de mi cocina
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3604","Lo compré de emergencia durante la cuarentena y me parecio que tiene un excelente precio para la calidad del producto y la gran utilidad que presta en las labores del día a día, lo más destacable es que la bandeja inferior es removible lo que facilita su limpieza y cuidado.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3605","En 6 meses de uso, todo impecable.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3606","Buenisimo, cumple con lo esperado
<U+2714> Sí, recomiendo este producto."
"3607","Superó mis expectativas. Ideal para la familia, puedes ocuparlo tanto para repostería como para cocinar carnes y pescados.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3608","Cumplió todas mis expectativas. Si bien es ""pequeño"" funciona excelente; ideal para una persona o pareja.
<U+2714> Sí, recomiendo este producto."
"3609","Cumplió con mis expectativas. Si bien es ""pequeño"", cumple su función; es ideal para una persona o pareja.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3610","buen producto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3611","Cumplió mis expectativas ya que es un buen producto y fácil de usar
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3612","Excelente producto lo quería para poder hacer queques y poder cocinar ya que tengo un horno pero es demaciado pequeño me encanto, y si lo recomendaría me encanta la marca Thomas.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3613","Excelente producto, cumplió todas mis expectativas, cocino de todo en este horno, un siete
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3614","Cumplió con mis expectativas
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3615","Muy bueno hasta el momento cumple todo lo informado...hemos concinado hartas cosas ricas...
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3616","Excelente compra nada que decir del producto muy bueno
<U+2714> Sí, recomiendo este producto."
"3617","Es muy fácil de usar, trae 3 bandejas y nunca me ha fallado desde que lo compré, realmente recomiendo este horno.
<U+2714> Sí, recomiendo este producto."
"3618","Fácil de usar, excelente número de bandejas
<U+2714> Sí, recomiendo este producto."
"3619","La manilla (el nuevo diseño) no cumple con los estándares de seguridad, se calienta mucho. Realicé 2 cambios y tenían el mismo defecto, finalmente decidí devolverlo
Publicada originalmente en sodimac.cl"
"3620","Cumplió todas mis espectativas, excelente tamaño , justo lo que necesitaba
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl"
"3621","Muy espacioso, fácil de limpiar y bajo consumo.
<U+2714> Sí, recomiendo este producto."
